"Name","Size (bytes)","QC status","Times scheduled","Version","Duration","TC In","Created","Updated"
"splashws21slemain-p5-p-video","451555143","OK","0","3","0:14:17.27","0:00:00.00","2021-10-09T01:31:06","2021-10-09T02:58:27"
"splashws21slemain-p44-p-video","184736308","OK","0","3","0:13:31.02","0:00:00.00","2021-10-09T01:31:05","2021-10-09T02:57:57"
"splashws21slemain-p24-p-video","506803993","OK","0","3","0:06:13.14","0:00:00.00","2021-10-09T01:30:40","2021-10-09T02:57:07"
"splashws21slemain-p30-p-video","240806986","OK","0","3","0:14:37.13","0:00:00.00","2021-10-09T01:30:30","2021-10-09T02:56:09"
"splashws21slemain-p20-p-video","317561106","OK","0","3","0:13:36.00","0:00:00.00","2021-10-09T01:30:43","2021-10-09T02:55:23"
"splashws21slemain-p21-p-video","208280045","OK","0","3","0:14:58.24","0:00:00.00","2021-10-09T01:30:25","2021-10-09T02:53:40"
"splashws21slemain-p33-p-video","293825544","OK","0","3","0:12:01.11","0:00:00.00","2021-10-09T01:30:11","2021-10-09T02:53:21"
"splashws21scalamain-p6-p-video","179037600","OK","0","3","0:13:42.21","0:00:00.00","2021-10-09T01:30:11","2021-10-09T02:52:30"
"splashws21scalamain-p5-p-video","337968023","OK","0","3","0:14:24.02","0:00:00.00","2021-10-09T01:30:05","2021-10-09T02:51:25"
"splashws21slemain-p18-p-video","107063762","OK","0","3","0:07:14.02","0:00:00.00","2021-10-09T01:29:55","2021-10-09T02:50:03"
"splashws21scalamain-p4-p-video","280756881","OK","0","3","0:13:12.00","0:00:00.00","2021-10-09T01:29:45","2021-10-09T02:49:04"
"splashws21slemain-p15-p-video","202202555","OK","0","3","0:15:00.00","0:00:00.00","2021-10-09T01:29:39","2021-10-09T02:48:35"
"splashws21slemain-p12-p-video","109573205","OK","0","3","0:05:16.02","0:00:00.00","2021-10-09T01:29:43","2021-10-09T02:47:38"
"splashws21reblsmain-p76-p-video","252278585","OK","0","3","0:13:17.27","0:00:00.00","2021-10-09T01:29:09","2021-10-09T02:45:37"
"splashws21reblsmain-p57-p-video","349384874","OK","0","3","0:14:57.12","0:00:00.00","2021-10-09T01:29:09","2021-10-09T02:45:20"
"splashws21scalamain-p1-p-video","234247809","OK","0","3","0:13:24.09","0:00:00.00","2021-10-09T01:28:51","2021-10-09T02:44:38"
"splashws21gpcemain-p5-p-video","278470294","OK","0","3","0:15:53.08","0:00:00.00","2021-10-09T01:28:52","2021-10-09T02:43:58"
